,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
OLQDL,9,15,24,37,24,9,139,252,0.45185185185185184,-13.363204537286059,3.439998637832474,3.8000635007659733,21.88372316162625,45.8955409005672,-0.13193913100229404
OLQDR,10,17,27,58,33,9,174,272,0.5352941176470588,-2.3108934445993086,7.866499728939445,3.0084419696893727,41.21627359825456,35.73770799058377,-0.051291775633651504
OLQVL,10,12,22,22,15,6,123,172,0.30833333333333335,-14.004343408542468,-1.897711730900447,1.3904815328921094,-8.425074619347981,10.583361046652044,-0.20761303075266513
OLQVR,10,12,22,18,13,6,171,159,0.25833333333333336,-18.004343408542468,-3.897711730900447,1.3904815328921094,39.57492538065202,-2.416638953347956,-0.2576130307526651
PLNL,2,6,8,6,1,1,25,40,0.5833333333333334,0.9640677778498272,4.218702459923616,-0.04062534490055958,16.197218322830512,-29.845281785617175,-0.05153280572957275
PLNR,4,5,9,5,3,3,76,54,0.4,4.375239999280176,5.307493182297653,1.758171156148976,37.220970978484615,-1.3152945495157553,-0.16981643072132324
PVCL,11,14,25,35,9,2,97,100,0.2857142857142857,-10.95203231585571,-12.471210639793483,-3.401139998184491,-50.09252418271967,-91.57447186333135,-0.2330269887982772
PVCR,14,13,27,21,13,4,214,99,0.18681318681318682,-20.76592898731588,-10.66160341024844,-1.8411492029304615,21.807239622521763,-78.26405631478607,-0.24141747810647296
PVNL,15,13,28,30,27,4,109,153,0.2923076923076923,-11.990997880206386,2.0592130969225693,-2.079954908725967,-98.31674922789094,-24.483628002342186,-0.11046207136064717
PVNR,11,8,19,17,19,5,107,86,0.4090909090909091,0.21582772741249556,7.411735608398644,1.2573074776587925,-38.462142043842704,-15.759688196049481,-0.024882930387999436
PVPL,9,14,23,49,18,4,110,190,0.5317460317460317,3.4981054699252994,-0.9128436541355001,-0.9235285865934797,-6.84454648189427,-1.1353284882191303,-0.03791704526917172
