,Gene_Idx,Saliency
11114,11114,5.1414645e-05
5427,5427,5.141394e-05
8504,8504,5.1407867e-05
19066,19066,5.1406078e-05
19121,19121,5.14055e-05
20637,20637,5.139658e-05
75,75,5.139408e-05
4736,4736,5.139207e-05
7004,7004,5.1389816e-05
3069,3069,5.1388266e-05
18017,18017,5.1380262e-05
8985,8985,5.137723e-05
21775,21775,5.1377207e-05
21001,21001,5.1376024e-05
22209,22209,5.1375202e-05
15836,15836,5.137307e-05
5276,5276,5.137194e-05
540,540,5.1367166e-05
21604,21604,5.1364288e-05
124,124,5.134008e-05
4349,4349,5.1333605e-05
16292,16292,5.1329884e-05
22361,22361,5.1326966e-05
18394,18394,5.132222e-05
19870,19870,5.1320458e-05
21972,21972,5.1320367e-05
8128,8128,5.1317526e-05
9133,9133,5.1312614e-05
19068,19068,5.1310253e-05
22461,22461,5.1303825e-05
6691,6691,5.129762e-05
16443,16443,5.1292038e-05
32,32,5.1288414e-05
14691,14691,5.1287203e-05
19953,19953,5.1284547e-05
9896,9896,5.1284263e-05
9868,9868,5.128113e-05
10451,10451,5.1278865e-05
7011,7011,5.1278246e-05
