Neuron,Cluster,TSNE_1,TSNE_2,NeuronName,Canonical
Neuron_418,6,-27.314049,8.574473,Unlabeled,❌
Neuron_419,0,-9.664046,-19.613415,Unlabeled,❌
Neuron_420,0,-5.6659236,-19.577597,Unlabeled,❌
Neuron_421,0,-8.462611,-18.439695,Unlabeled,❌
Neuron_422,6,-25.877033,8.338963,Unlabeled,❌
Neuron_423,0,43.894016,16.336304,Unlabeled,❌
Neuron_424,0,-10.435954,-17.902252,Unlabeled,❌
Neuron_425,0,3.5280027,6.8044252,Unlabeled,❌
Neuron_426,6,-6.280076,8.8526325,Unlabeled,❌
Neuron_427,0,30.034693,5.526398,Unlabeled,❌
Neuron_428,6,-32.46556,2.2295518,Unlabeled,❌
Neuron_429,6,-13.304618,6.4490647,Unlabeled,❌
Neuron_430,0,0.54120684,7.77089,Unlabeled,❌
Neuron_431,6,-11.003345,-17.170746,Unlabeled,❌
Neuron_432,6,-7.887028,9.041966,Unlabeled,❌
Neuron_433,0,38.51938,9.390964,Unlabeled,❌
Neuron_434,0,14.687393,-17.109688,Unlabeled,❌
Neuron_435,0,29.148952,2.588355,Unlabeled,❌
Neuron_436,0,2.9351745,-11.074784,Unlabeled,❌
Neuron_437,0,41.44078,-6.627413,Unlabeled,❌
Neuron_438,0,23.419786,-2.3885636,Unlabeled,❌
Neuron_439,6,-39.59081,15.722624,Unlabeled,❌
Neuron_440,0,0.059326746,-18.966208,Unlabeled,❌
Neuron_441,6,-18.052282,-5.4489927,Unlabeled,❌
Neuron_442,0,14.361355,-18.496914,Unlabeled,❌
Neuron_443,6,-37.24725,17.4887,Unlabeled,❌
Neuron_444,0,12.4481535,-18.290007,Unlabeled,❌
Neuron_445,0,17.028713,9.530504,Unlabeled,❌
Neuron_446,0,34.323837,7.69114,Unlabeled,❌
Neuron_447,6,-13.498764,5.8338623,Unlabeled,❌
Neuron_448,0,23.221197,-7.5128617,Unlabeled,❌
Neuron_449,0,2.5790343,9.304157,Unlabeled,❌
Neuron_450,0,-1.0117606,11.341387,Unlabeled,❌
Neuron_451,0,4.258356,6.884404,Unlabeled,❌
Neuron_452,6,-7.402018,9.468682,Unlabeled,❌
Neuron_453,6,-11.426228,5.4230475,Unlabeled,❌
Neuron_454,0,4.067837,7.680553,Unlabeled,❌
Neuron_455,6,-25.925629,8.627597,Unlabeled,❌
Neuron_456,6,-31.849249,14.16438,Unlabeled,❌
Neuron_457,0,-0.4135484,-19.940233,Unlabeled,❌
Neuron_458,0,17.373867,-15.44657,Unlabeled,❌
Neuron_459,0,28.90836,0.6108252,Unlabeled,❌
Neuron_460,0,35.736725,9.485012,Unlabeled,❌
Neuron_461,0,-4.628409,6.025219,Unlabeled,❌
Neuron_462,6,-24.175814,5.0490932,Unlabeled,❌
Neuron_463,0,18.398916,11.545971,Unlabeled,❌
Neuron_464,0,0.36237612,11.300212,Unlabeled,❌
Neuron_465,0,3.176363,-20.13744,Unlabeled,❌
Neuron_466,0,40.570683,22.061243,Unlabeled,❌
Neuron_467,0,14.396798,7.8072934,Unlabeled,❌
Neuron_468,0,42.453346,4.9125032,Unlabeled,❌
