gene,integrated_gradients
WBGene00195542,2.1692111e-07
WBGene00007287,2.1680182e-07
WBGene00004457,2.1669204e-07
WBGene00013273,2.1665608e-07
WBGene00201745,2.1664427e-07
WBGene00006729,2.1663072e-07
WBGene00006331,2.1661599e-07
WBGene00002132,2.1647746e-07
WBGene00004879,2.1618814e-07
WBGene00013316,2.161534e-07
WBGene00016033,2.1606174e-07
WBGene00004215,2.1601376e-07
WBGene00004919,2.1600454e-07
WBGene00019680,2.1598782e-07
WBGene00008740,2.1595508e-07
WBGene00018653,2.1593648e-07
WBGene00004302,2.1590712e-07
WBGene00022025,2.1589582e-07
WBGene00000422,2.157622e-07
WBGene00000815,2.1568911e-07
WBGene00013042,2.1568253e-07
WBGene00077537,2.1567253e-07
WBGene00201640,2.155472e-07
WBGene00044303,2.155261e-07
WBGene00001837,2.15485e-07
WBGene00001026,2.1528676e-07
WBGene00019513,2.1502474e-07
WBGene00001160,2.1502183e-07
WBGene00077486,2.1501646e-07
WBGene00017865,2.1484038e-07
WBGene00006467,2.1483363e-07
WBGene00021512,2.1480807e-07
WBGene00004883,2.1471214e-07
WBGene00303000,2.1470265e-07
WBGene00017926,2.1469471e-07
WBGene00011326,2.1469413e-07
WBGene00017866,2.1462203e-07
WBGene00011300,2.1460934e-07
WBGene00001130,2.145422e-07
WBGene00004862,2.14533e-07
WBGene00004319,2.1448281e-07
WBGene00006794,2.1443172e-07
WBGene00006912,2.1432773e-07
WBGene00000097,2.1432743e-07
WBGene00021324,2.1429298e-07
WBGene00006843,2.1423168e-07
WBGene00021239,2.142314e-07
WBGene00016453,2.1422976e-07
WBGene00021939,2.1414525e-07
WBGene00044342,2.1412406e-07
WBGene00013994,2.1404053e-07
WBGene00017317,2.1403096e-07
WBGene00004053,2.1392643e-07
WBGene00022141,2.1389523e-07
WBGene00194650,2.1384257e-07
WBGene00010957,2.1377528e-07
WBGene00010002,2.1367174e-07
WBGene00018266,2.1354504e-07
WBGene00015132,2.1344114e-07
WBGene00021936,2.133534e-07
WBGene00011679,2.1329865e-07
WBGene00008970,2.1329497e-07
WBGene00006684,2.1328867e-07
WBGene00006483,2.132407e-07
WBGene00003625,2.132246e-07
WBGene00006757,2.1319231e-07
WBGene00018294,2.1318819e-07
WBGene00002004,2.1317418e-07
WBGene00006571,2.1314658e-07
WBGene00010724,2.1309852e-07
WBGene00006390,2.1297892e-07
WBGene00021952,2.1297403e-07
WBGene00007010,2.1282582e-07
WBGene00020612,2.1280533e-07
WBGene00003600,2.1275193e-07
WBGene00006705,2.1264198e-07
WBGene00000591,2.1256676e-07
