Neuron,total_3node_motifs,as_source,as_target
 ASHL        ,15,0,0
 AWCL        ,3,0,0
 AFDL        ,21,0,0
 AIZL        ,28,0,0
 ADAL        ,10,0,0
 RIAL        ,6,0,0
 URBL        ,10,0,0
 ASGR        ,28,0,0
 AWAR        ,6,0,0
 AWBR        ,15,0,0
 AFDR        ,28,0,0
 AIAR        ,36,0,0
 ADAR        ,10,0,0
 RIH         ,10,0,0
 SMBVR       ,28,0,0
 SMDVR       ,10,0,0
 ADLR        ,3,0,0
 AWAL        ,3,0,0
 RMGL        ,45,0,0
 AVDR        ,91,0,0
 hyp         ,1540,0,0
 ADLL        ,10,0,0
 ASKR        ,55,0,0
 ASGL        ,15,0,0
 AWCR        ,10,0,0
 PVQR        ,120,0,0
 ASEL        ,10,0,0
 AWBL        ,10,0,0
 AIML        ,1,0,0
 AINR        ,21,0,0
 RIVL        ,21,0,0
 ADFR        ,36,0,0
 ASER        ,6,0,0
 ASIR        ,6,0,0
 AIZR        ,15,0,0
 AINL        ,6,0,0
 ADFL        ,28,0,0
 ASHR        ,55,0,0
 ASKL        ,21,0,0
 RICL        ,3,0,0
 RICR        ,6,0,0
 RMGR        ,55,0,0
 AVHL        ,231,0,0
 AVAR        ,1128,0,0
 AVER        ,120,0,0
 AIAL        ,28,0,0
 AIYR        ,6,0,0
 ASJR        ,3,0,0
 IL2L        ,28,0,0
 ALA         ,15,0,0
 PVQL        ,78,0,0
 ASJL        ,15,0,0
 AIMR        ,6,0,0
 AIBL        ,78,0,0
 HSNL        ,6,0,0
 AIBR        ,66,0,0
 AVHR        ,325,0,0
 HSNR        ,15,0,0
 AUAL        ,10,0,0
 AUAR        ,10,0,0
 AIYL        ,6,0,0
 AVEL        ,91,0,0
 URBR        ,10,0,0
 RMDVR       ,66,0,0
 IL1DR       ,6,0,0
 IL1L        ,10,0,0
 RMEV        ,55,0,0
 IL1DL       ,3,0,0
 IL1R        ,1,0,0
 IL1VL       ,6,0,0
 RMER        ,6,0,0
 IL1VR       ,6,0,0
 RMDDL       ,28,0,0
 RMED        ,15,0,0
 IL2VR       ,1,0,0
 URAVR       ,0,0,0
 URADL       ,0,0,0
 URADR       ,1,0,0
 OLLL        ,3,0,0
 URXL        ,1,0,0
 RMDL        ,36,0,0
 URAVL       ,10,0,0
 URXR        ,6,0,0
