,003,012,102,021D,021U,021C,111D,111U,030T,030C,201,120D,120U,120C,210,300
"(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",124884,3842,0,42,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",118152,10222,0,233,171,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",120521,8014,0,152,91,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan",126473,2182,0,122,1,0,0,0,0,0,0,0,0,0,0,0
PC57,124918,3774,0,10,76,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",126481,2166,0,130,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",125005,3600,0,163,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",122962,5662,0,118,36,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan",119211,9116,0,315,136,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",120510,8036,0,141,91,0,0,0,0,0,0,0,0,0,0,0
PC73,125463,3190,0,6,119,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan",120187,8176,0,310,105,0,0,0,0,0,0,0,0,0,0,0
PC86,122965,5656,0,36,121,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan",126448,2232,0,97,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",121595,6878,0,239,66,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",111957,16034,0,291,496,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",125928,2766,0,81,3,0,0,0,0,0,0,0,0,0,0,0
