from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,data_sources
ADER,ADAR,"(-0.58, 83.23, -11.47)","(-1.43, 91.22, -11.64)",sensory,inter,,1.125,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADER,ADEL,"(-0.58, 83.23, -11.47)","(-0.12, 87.97, 10.5)",sensory,sensory,1.0,2.125,0.5395310463726809,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADER,AINR,"(-0.58, 83.23, -11.47)","(7.01, 67.38, -10.84)",sensory,inter,2.5,2.0,0.14999999999999997,"['cook2019', 'funconn', 'witvliet2020_8']"
ADER,ALA,"(-0.58, 83.23, -11.47)","(15.36, 51.26, -2.16)",sensory,sensory,,1.0,,"['chklovskii', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADER,ALMR,"(-0.58, 83.23, -11.47)","(19.99, 313.28, 10.89)",sensory,sensory,,1.0,,"['white1986_jsh', 'witvliet2020_8']"
ADER,ALNR,"(-0.58, 83.23, -11.47)","(12.15, 786.6, -4.0)",sensory,sensory,2.0,1.0,0.0,"['cook2019', 'witvliet2020_8']"
ADER,AQR,"(-0.58, 83.23, -11.47)","(-3.56, 87.59, -10.65)",sensory,sensory,,1.0,,['witvliet2020_7']
ADER,ASIR,"(-0.58, 83.23, -11.47)","(9.72, 63.42, -7.16)",sensory,sensory,,1.0,,"['cook2019', 'funconn']"
ADER,AVAL,"(-0.58, 83.23, -11.47)","(6.7, 50.2, 8.41)",sensory,inter,,5.25,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADER,AVAR,"(-0.58, 83.23, -11.47)","(4.79, 50.99, -9.13)",sensory,inter,,1.625,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADER,AVBR,"(-0.58, 83.23, -11.47)","(4.83, 62.69, -9.41)",sensory,inter,,1.0,,"['funconn', 'witvliet2020_7']"
ADER,AVDR,"(-0.58, 83.23, -11.47)","(5.14, 65.45, -10.59)",sensory,inter,,2.2857142857142856,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADER,AVER,"(-0.58, 83.23, -11.47)","(3.63, 52.03, -6.09)",sensory,inter,,1.4285714285714286,,"['cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADER,AVJR,"(-0.58, 83.23, -11.47)","(7.55, 65.13, -9.59)",sensory,inter,1.0,1.0,0.0,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADER,AVKL,"(-0.58, 83.23, -11.47)","(-5.94, 87.39, 3.82)",sensory,inter,2.5,1.6,0.5909081537009719,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
