Neuron,KMeansCluster
pm2vl ,0
mc3dl ,0
pm7vl ,0
 dBWML3      ,4
dBWML3 ,4
dBWML2 ,4
dBWML4 ,4
 dBWML1      ,4
 dBWML5      ,4
dBWML6 ,4
dBWML18 ,4
dBWML22 ,4
 dBWML23     ,4
dBWML24 ,4
dBWMR5 ,4
 dBWMR6      ,4
dBWMR6 ,4
dBWMR7 ,4
dBWMR9 ,4
dBWMR10 ,4
dBWMR13 ,4
dBWMR16 ,4
dBWMR17 ,4
dBWMR20 ,4
vBWML10 ,4
 vBWML11     ,4
vBWMR7 ,4
 vBWMR6      ,4
vBWML12 ,4
vBWML16 ,4
vBWML19 ,4
vBWML22 ,4
vBWMR4 ,4
vBWMR5 ,4
vBWMR17 ,4
 vBWMR18     ,4
vBWMR18 ,4
vBWMR19 ,4
intR ,4
um2aR ,4
um2pR ,4
RIBL,3
RIBR,3
RIGR,3
AIAR,3
ASER,3
RIGL,3
IL1VR,2
RMDDL,3
RMDDR,3
RMGL,3
AIZL,3
AIZR,3
AQR,5
RMED,5
ASHL,3
RIPR,2
SDQR,2
SDQL,2
RMER,2
IL1VL,2
RIPL,2
RIR,3
ADEL,5
AIAL,3
AIMR,5
RMEL,2
IL1DR,2
CANR,0
dBWML8 ,4
vm1aL ,4
vm1pR ,4
pm1d ,0
dBWML11 ,4
 dBWML12     ,4
dBWML13 ,4
dBWML15 ,4
 dBWML16     ,4
dBWML17 ,4
dBWML21 ,4
 dBWML22     ,4
dBWML23 ,4
 dBWMR14     ,4
dBWMR15 ,4
dBWMR23 ,4
dBWMR24 ,4
vBWML1 ,4
vBWML4 ,4
vBWML23 ,4
vBWMR10 ,4
 vBWMR11     ,4
vBWMR12 ,4
vBWMR14 ,4
vBWMR21 ,4
 vBWMR22     ,4
vBWMR22 ,4
vBWMR23 ,4
BWM-VR03,0
DB1,4
 I2L           ,0
 MCL           ,0
 pm3vl         ,0
 pm4d          ,0
 MCR         ,0
 pm1vr         ,0
 pm3vr         ,0
 I1L           ,0
 I1R           ,0
 pm4vr         ,0
 pm6vl         ,4
 pm7d          ,0
 mc2dl         ,0
 AFDL          ,0
 AIZL          ,1
 RIGR          ,0
 SMDVL         ,1
 AVJL          ,0
 ASJL          ,0
 ASKL          ,0
 RMGR          ,0
 RMDDR         ,1
 RMDL          ,1
 SIADR         ,0
 RIFL          ,0
 SIADL         ,0
 AVKR          ,0
 ALNL          ,0
 RMEL        ,4
 vm2aR         ,0
 vm2pL         ,0
 RIFL        ,4
 ALA           ,0
 OLLR          ,0
 AWAR        ,0
 VC04          ,0
 HSNL        ,0
 IL2DL         ,0
 URBL          ,0
 IL1DL         ,0
 DB04          ,0
 PDA         ,4
 VD03          ,1
 URADL       ,0
 IL2DR         ,0
 RMFR          ,0
 AS01          ,0
 AS03          ,0
 RID         ,4
 DB05        ,4
 dBWMR1        ,0
 IL2VL         ,0
 dBWMR10       ,0
 dBWML14       ,0
 dBWML16       ,0
 AS03        ,4
 intestine     ,0
 VB06          ,0
 VB04          ,0
 URAVR       ,4
 URADR       ,0
 CEPDR       ,4
 IL2DL       ,4
 PHBL          ,0
 VC06          ,0
 VC02        ,4
 vm2aL       ,4
 vm2aR       ,4
 DB01          ,0
 vBWML21       ,0
 vBWML20       ,0
 VD06        ,0
 VD04        ,4
 VD10        ,4
 AS04        ,4
 DD04          ,0
 dBWMR23       ,0
 dBWML18       ,0
 DD03        ,4
 VB07          ,0
dBWML9 ,4
um1aR ,4
 pm6vl       ,0
 mc1v        ,0
 pm7d        ,0
 pm7vl       ,0
 pm1vl       ,0
 vBWML9      ,4
 vBWMR7      ,4
 vBWMR9      ,4
 um1aL       ,4
 um1pL       ,4
 um1pR       ,4
 vm1aR       ,4
 dBWML8      ,4
 dBWML10     ,4
 vBWMR8      ,4
 dBWML2      ,4
dBWML1 ,4
 dBWML4      ,4
 dBWML6      ,4
dBWML7 ,4
 dBWMR8      ,4
 dBWMR11     ,4
dBWMR12 ,4
 dBWMR13     ,4
dBWMR14 ,4
 dBWMR15     ,4
 dBWMR16     ,4
 vBWML3      ,4
vBWML2 ,4
 vBWML1      ,4
vBWMR9 ,4
 vBWMR10     ,4
 vBWML23     ,4
 vBWMR5      ,4
vBWMR6 ,4
