gene,mean_members,mean_control,effect_size,pval,qval
WBGene00011914,0.2773478835978836,0.6100830660416152,-0.3327351824437316,2.4894601951751776e-10,6.15106734546486e-08
WBGene00017887,0.8903108465608467,2.107944732297064,-1.2176338857362174,2.4911973316004377e-10,6.15106734546486e-08
WBGene00007041,3.584656084656084,9.853820215478246,-6.269164130822162,2.546508569823968e-10,6.219293592975515e-08
WBGene00021076,0.3059523809523809,0.8379718726868984,-0.5320194917345176,2.7652084330500573e-10,6.680803041096961e-08
WBGene00006839,19.015575396825398,58.93276585245497,-39.91719045562957,2.929455028004604e-10,7.00233244938675e-08
WBGene00008918,0.7310185185185185,1.8380294432107902,-1.1070109246922717,2.9664583972548495e-10,7.016142497675707e-08
WBGene00015436,0.03829365079365079,0.15704416481618552,-0.11875051402253473,3.041278410837871e-10,7.044792228156302e-08
WBGene00006735,0.6046626984126985,1.4754338350193272,-0.8707711366066287,3.0199249511330343e-10,7.044792228156302e-08
WBGene00003520,0.0,0.08142939386462703,-0.08142939386462703,3.158996356496676e-10,7.242805013686103e-08
WBGene00008547,0.44414682539682543,1.7624311209803438,-1.3182842955835183,3.4618801808456144e-10,7.857069271052536e-08
WBGene00001788,2.637929894179894,11.490097869890619,-8.852167975710724,3.5075112770717965e-10,7.88102708845262e-08
WBGene00000741,0.01706349206349206,0.14293116210214657,-0.1258676700386545,3.5984015338834336e-10,8.005196442062066e-08
WBGene00003712,0.014285714285714284,0.11073279052553664,-0.09644707623982235,3.742754697955761e-10,8.244701500820392e-08
WBGene00018421,0.5041666666666665,1.2239575622995311,-0.7197908956328646,3.892812323586944e-10,8.410346163334138e-08
WBGene00009007,0.576686507936508,1.3956904350686734,-0.8190039271321654,3.8758808970303257e-10,8.410346163334138e-08
WBGene00045387,0.004166666666666667,0.06873920552677029,-0.06457253886010363,4.170055510927024e-10,8.853517295477954e-08
WBGene00284844,5.373875661375661,10.518381445842586,-5.144505784466925,4.1767449967540306e-10,8.853517295477954e-08
WBGene00021440,0.22285052910052908,0.5974339995065384,-0.37458347040600937,4.340579151358731e-10,9.114810556250406e-08
WBGene00007195,1.03234126984127,2.4378402829180033,-1.4054990130767333,4.5382806077837025e-10,9.441724720027038e-08
WBGene00020411,0.1736441798941799,0.5149847849329715,-0.3413406050387916,4.594391893104895e-10,9.470769857447145e-08
WBGene00011306,1.2526785714285713,2.7167119006497247,-1.4640333292211534,4.697045225358778e-10,9.594355378962399e-08
WBGene00016810,0.6306878306878306,1.5129944896784275,-0.8823066589905969,4.75440972048365e-10,9.62403891977902e-08
