gene,mean_hub,mean_control,effect_size,pval,qval
WBGene00195185,0.14472573839662445,1.2622484045164457,-1.1175226661198212,8.808471691588427e-09,5.349122984818928e-06
WBGene00003561,1.5911392405063292,5.672467681230567,-4.0813284407242385,9.302693424511241e-09,5.500584698824818e-06
WBGene00003627,0.3150492264416314,1.0442071674030438,-0.7291579409614124,9.611387086988213e-09,5.537391191218927e-06
WBGene00019518,0.010126582278481011,0.08934707903780068,-0.07922049675931966,1.0748389545094449e-08,6.0376391172181795e-06
WBGene00200347,0.0,0.037399770904925536,-0.037399770904925536,1.3318021984616806e-08,7.124824666008452e-06
WBGene00044029,1.5517580872011254,11.034216985763377,-9.482458898562252,1.3190538230147172e-08,7.124824666008452e-06
WBGene00016971,0.0,0.026345933562428404,-0.026345933562428404,1.7291394258697175e-08,8.094173699972226e-06
WBGene00010491,0.0,0.04473081328751431,-0.04473081328751431,1.7138312758906102e-08,8.094173699972226e-06
WBGene00005745,0.016877637130801686,0.13688430698739978,-0.1200066698565981,1.6221260693264886e-08,8.094173699972226e-06
WBGene00013027,0.07018284106891699,0.2852479135984291,-0.21506507252951212,1.7047949359101036e-08,8.094173699972226e-06
WBGene00001777,0.02953586497890295,0.29129438717067585,-0.2617585221917729,1.61350777420605e-08,8.094173699972226e-06
WBGene00003979,0.05850914205344583,0.3405907380134184,-0.28208159595997256,1.623576907546457e-08,8.094173699972226e-06
WBGene00000900,1.6105485232067511,4.266298478154148,-2.655749954947397,1.833067884495751e-08,8.405551489129598e-06
WBGene00018563,0.0,0.03888070692194403,-0.03888070692194403,1.9214731381576597e-08,8.634715988252892e-06
WBGene00002101,3.2244725738396625,95.33050237277041,-92.10602979893075,2.015333280183479e-08,8.878926171067176e-06
WBGene00015817,0.008438818565400841,0.08017509409261989,-0.07173627552721905,2.1743942634879547e-08,9.051513495336635e-06
WBGene00015913,0.10379746835443039,0.3002127311405661,-0.19641526278613575,2.1233563905817887e-08,9.051513495336635e-06
WBGene00003611,0.2326300984528832,0.7772459499263622,-0.544615851473479,2.1753604021014653e-08,9.051513495336635e-06
WBGene00016667,0.035443037974683546,0.31030927835051547,-0.2748662403758319,2.27985667865988e-08,9.147517805858723e-06
WBGene00001505,0.22067510548523203,2.3018327605956475,-2.0811576551104154,2.2670872484417915e-08,9.147517805858723e-06
WBGene00010975,0.19282700421940932,0.6250613647520864,-0.43223436053267705,2.392368853548691e-08,9.430550135155356e-06
WBGene00003375,0.0641350210970464,0.46092292587137945,-0.39678790477433307,2.5605370831535545e-08,9.919432365754693e-06
WBGene00022694,0.20028129395218,0.9166339387988873,-0.7163526448467074,2.627595013351213e-08,1.0006683449998034e-05
WBGene00018757,1.8319268635724328,4.186647029945998,-2.3547201663735655,2.8413445969837025e-08,1.0640361958271135e-05
WBGene00271437,0.006329113924050633,0.06380297823596794,-0.057473864311917304,3.0384620688920644e-08,1.1192000692776361e-05
WBGene00019643,2.561603375527427,12.044861724758633,-9.483258349231207,3.107534998904476e-08,1.1261807079094302e-05
WBGene00019254,0.0,0.033734249713631155,-0.033734249713631155,3.6719967862562694e-08,1.1981313638692448e-05
WBGene00013385,0.10956399437412093,0.3173048600883652,-0.2077408657142443,3.554299108878104e-08,1.1981313638692448e-05
WBGene00018384,0.05063291139240506,0.702520045819015,-0.6518871344266098,3.535558197659444e-08,1.1981313638692448e-05
WBGene00003778,0.22925457102672292,0.975593192603502,-0.7463386215767791,3.3985170508853095e-08,1.1981313638692448e-05
WBGene00219748,0.10421940928270042,0.8797905416462117,-0.7755711323635113,3.5686927381037984e-08,1.1981313638692448e-05
WBGene00021078,1.267510548523207,3.583611520209458,-2.316100971686251,3.6097159123585366e-08,1.1981313638692448e-05
WBGene00016532,0.06118143459915611,3.340435280641466,-3.2792538460423097,3.679338827138631e-08,1.1981313638692448e-05
WBGene00044280,0.0,0.02852233676975945,-0.02852233676975945,3.9439573811905095e-08,1.2307885888606883e-05
WBGene00017447,0.06343178621659634,0.6745540828015054,-0.611122296584909,3.9201569235648736e-08,1.2307885888606883e-05
WBGene00018879,2.6447257383966254,6.563884797905417,-3.9191590595087917,3.936632531811904e-08,1.2307885888606883e-05
WBGene00003473,0.060759493670886074,1.5541155293732611,-1.493356035702375,4.2072120980312125e-08,1.2949568305570318e-05
WBGene00017720,0.0,0.08591065292096219,-0.08591065292096219,4.567248750846948e-08,1.3867771916591901e-05
WBGene00022884,0.0,0.03138602520045819,-0.03138602520045819,5.095354722062599e-08,1.5265003366669936e-05
