Neuron,TotalStrength,AvgRelatedness,StrengthImbalance
dBWMR14 ,90.0,0.0,90.0
dBWMR15 ,90.0,0.0,90.0
dBWMR16 ,90.0,0.0,90.0
dBWMR17 ,90.0,0.0,90.0
dBWMR18 ,90.0,0.0,90.0
dBWMR19 ,90.0,0.0,90.0
dBWMR2 ,90.0,0.0,90.0
dBWMR20 ,90.0,0.0,90.0
dBWMR21 ,90.0,0.0,90.0
dBWMR22 ,90.0,0.0,90.0
dBWMR23 ,90.0,0.0,90.0
dBWMR24 ,45.0,0.0,45.0
dBWMR3 ,135.0,0.0,135.0
dBWMR4 ,90.0,0.0,90.0
dBWMR5 ,90.0,0.0,90.0
dBWMR6 ,90.0,0.0,90.0
dBWMR7 ,90.0,0.0,90.0
dBWMR8 ,90.0,0.0,90.0
dBWMR9 ,90.0,0.0,90.0
hyp ,957.0,0.0,957.0
intL ,36.0,0.0,36.0
intR ,36.0,0.0,36.0
mc1dl ,30.0,6.875,30.0
mc1dr ,30.0,6.75,30.0
mc1v ,24.0,5.5,24.0
mc2dl ,24.0,7.0,24.0
mc2dr ,24.0,7.0,24.0
mc2v ,12.0,9.0,12.0
mc3dl ,36.0,8.75,36.0
mc3dr ,36.0,8.083333333333334,36.0
mc3v ,30.0,7.8,30.0
pm1d ,6.0,6.5,6.0
pm1vl ,6.0,6.0,6.0
pm1vr ,6.0,9.0,6.0
pm2d ,12.0,6.75,12.0
pm2vl ,12.0,8.5,12.0
pm2vr ,12.0,8.5,12.0
pm3d ,24.0,9.0,24.0
pm3vl ,24.0,8.625,24.0
pm3vr ,27.0,6.25,27.0
pm4d ,48.0,6.285714285714286,48.0
pm4vl ,30.0,7.5,30.0
pm4vr ,39.0,7.166666666666667,39.0
pm5d ,54.0,7.2272727272727275,54.0
pm5vl ,42.0,7.833333333333333,42.0
pm5vr ,30.0,7.833333333333333,30.0
pm6d ,18.0,8.166666666666666,18.0
pm6vl ,18.0,8.75,18.0
pm6vr ,24.0,7.0,24.0
pm7d ,18.0,4.833333333333333,18.0
pm7vl ,18.0,6.5,18.0
