Neuron	pearson_r_strict	spearman_r_strict	abs_pearson_strict	abs_spearman_strict	rank_p_strict	rank_s_strict	rank_product_strict	variance_var_bulk	variance_var_aggr	dynamic_range_dyn_bulk	meta_rank_product	meta_score_mean	meta_score_median	Type	LineageGroup	Functions	RichClubScore	TotalStrength	AvgRelatedness	StrengthImbalance	total_3node_motifs	as_source	as_target	MultifunctionalityScore	is_known_hub	literature_refs	is_novel_candidate
WBGene00050945	0.7583164048801432	0.0162230482592308	0.7583164048801432	0.0162230482592308	2187.0	16769.0	6055.889942857284	33097886.797587592	0.1120914533412153	17013.985499370527	7836.300469158778	3013431.8758790307	2187.0											0	False		True
WBGene00194896	0.6667613901432715	-0.0076571921134993	0.6667613901432715	0.0076571921134993	2577.0	17345.0	6685.66114905624	33095747.249685846	0.1120914533412153	17345.02732154185	7768.245678315305	3013406.3299499084	2577.0											0	False		True
WBGene00195226	0.9900364435566036	0.0287724794567853	0.9900364435566036	0.0287724794567853	759.0	16030.0	3488.089735084234	32155259.89444336	0.1120914533412153	17621.994652531248	7003.877355039751	2927287.727808665	759.0											0	False		True
WBGene00196104	0.0021198432544182	0.4458219660733711	0.0021198432544182	0.4458219660733711	17678.0	1539.5	5216.82671745957	35615552.302996784	0.1120914533412153	17677.997880156745	6897.522066685143	3242233.014330559	1539.5											0	False		True
WBGene00198429	-0.0230185824827543	0.3988311785740636	0.0230185824827543	0.3988311785740636	16661.0	2068.0	5869.833728479879	32711912.229383983	0.1120914533412153	16992.023018582484	8073.754440534858	2978325.2500295807	2068.0											0	False		True
WBGene00200292	-0.0055215763037423	0.6634214346853741	0.0055215763037423	0.6634214346853741	17525.0	289.0	2250.4943901285337	35503530.498605914	0.1120914533412153	17808.005521576302	5838.269593377349	3231567.5188223016	289.0											0	False		True
WBGene00206491	-0.0008283756601385	0.3782633472033979	0.0008283756601385	0.3782633472033979	17727.0	2367.0	6477.639153271815	37111823.54855882	0.1120914533412153	17783.00082837566	6864.552371630772	3378458.5099572944	2367.0											0	False		True
WBGene00219709	-0.0127531851114022	0.3898487920724222	0.0127531851114022	0.3898487920724222	17170.0	2200.0	6146.055645696677	32591766.22362785	0.1120914533412153	17170.032450375118	8073.8099730592285	2967502.4557714565	2200.0											0	False		True
WBGene00269429	0.0148672381480431	0.5528961467051496	0.0148672381480431	0.5528961467051496	17079.0	703.0	3465.0450213525364	33444607.46132084	0.1120914533412153	17288.98637475818	7095.793801800162	3044567.32128518	703.0											0	False		True
rank_s_strict	-0.0317328843176977	0.1011737868427914	0.1433741241204041	0.1595619082968869	8882.0	8882.0	8930.264161826346	25789964.52938108	26295158.894015312	12702.908000198178	5333.195643016462	4739077.651234397	8882.0											0	False		True
rank_s_umbrella	-0.0317328843176977	0.1011737868427914	0.1433741241204041	0.1595619082968869	8882.0	8882.0	8930.264161826346	25789964.52938108	26806845.08849113	12702.908000198178	5498.4761078673455	4785609.603501731	8882.0											0	False		True
